make,model,price,engine,cylinders,fuel,mileage,transmission,trim,body,doors,drivetrain,vehicle_age
1,91,1.238414921672968,"gasoline direct injection, DOHC, variable valve control,",-0.646720197947545,4,-0.11022903770371452,13,55 Premium Plus,6,4.0,0,-0.28135375487034925
23,2,2.1331331350174163,24V DDI OHV Turbo Diesel,0.8344538325517469,0,-0.11022903770371452,32,Laramie,5,4.0,1,-0.28135375487034925
23,2,0.8214930085300003,24V DDI OHV Turbo Diesel,0.8344538325517469,0,-0.11624567932445402,9,Tradesman,5,4.0,1,-0.28135375487034925
20,21,0.45808644543224925,DOHC 16V LEV3-SULEV30,-0.646720197947545,6,-0.11825122653136719,32,Premium Plus,6,4.0,0,-0.28135375487034925
8,77,0.018383983887829178,c,-0.646720197947545,3,-0.11022903770371452,1,GT,6,4.0,0,3.0747946067973886
7,61,-0.15688014027441258,16V GDI DOHC Turbo Hybrid,-0.646720197947545,5,-0.13429560418667252,9,R/T Plus,6,4.0,0,-0.28135375487034925
5,112,-0.3231619104351316,16V GDI DOHC Turbo,-0.646720197947545,4,-0.1302845097728462,19,Custom,5,4.0,1,-0.28135375487034925
5,112,-0.03448203936209679,16V GDI OHV,2.3156278630510387,4,-0.1302845097728462,32,LT,5,4.0,1,-0.28135375487034925
5,112,-0.3602817588992557,16V GDI DOHC Turbo,-0.646720197947545,4,-0.1302845097728462,32,WT,5,4.0,1,-0.28135375487034925
7,22,-0.7602670647983885,24V MPFI DOHC,0.8344538325517469,4,-0.09418466004840918,19,SXT,7,4.0,3,3.0747946067973886
5,112,0.23947975768434657,16V GDI OHV,2.3156278630510387,4,0.1625253824364762,32,RST,5,4.0,1,-0.28135375487034925
21,122,0.5371960933251784,16V DDI DOHC Turbo Diesel,-0.646720197947545,0,-0.017973866185708835,28,Standard Roof,0,3.0,3,-0.28135375487034925
15,23,-1.1507289110332561,"gasoline direct injection, DOHC, variable valve control,",-0.646720197947545,4,-0.13229005697975935,32,Latitude,6,4.0,1,-0.28135375487034925
11,18,-0.4398242913223787,16V GDI DOHC Hybrid,-0.646720197947545,5,-0.13229005697975935,33,Sport Touring,6,4.0,0,-0.28135375487034925
12,65,-0.27749259249967867,c,-0.646720197947545,3,-0.11022903770371452,32,SEL,7,4.0,3,-0.28135375487034925
12,135,-0.7721172788124456,16V GDI DOHC Turbo Hybrid,-0.646720197947545,5,-0.12426786815210669,9,SEL Convenience,6,4.0,0,-0.28135375487034925
15,23,-1.08942163944455,DOHC,-0.646720197947545,4,-0.13429560418667252,19,Latitude,6,4.0,1,3.0747946067973886
16,120,-0.8729793743476165,16V PDI DOHC,-0.646720197947545,4,-0.11424013211754086,19,X-Line,6,4.0,0,-0.28135375487034925
15,23,-1.1250263920529955,"gasoline direct injection, DOHC, variable valve control,",-0.646720197947545,4,-0.12226232094519353,32,Sport,6,4.0,1,-0.28135375487034925
8,130,0.29824383265816395,24V PDI DOHC Flexible Fuel,0.8344538325517469,2,-0.015968318978795668,3,Base,0,3.0,0,-0.28135375487034925
1,92,1.8125280298425839,c,-0.646720197947545,3,-0.12426786815210669,32,Premium,6,4.0,0,-0.28135375487034925
15,141,0.5044592007292672,"ar 3.6L V-6 DOHC, variable valve control, regular unleade",0.8344538325517469,4,-0.10421239608297501,32,4-Door Sahara 4x4,6,4.0,1,-0.28135375487034925
15,56,-0.5637915986566473,"ar 3.6L V-6 DOHC, variable valve control, regular unleade",0.8344538325517469,4,-0.10621794328988819,32,Laredo,6,4.0,1,-0.28135375487034925
5,112,-0.02733944461389799,16V GDI OHV,2.3156278630510387,4,-0.1302845097728462,32,LT,5,4.0,1,-0.28135375487034925
